id,category,subcategory,input,expected_eac,focus,register,confidence,status,notes,tags
EAC-GC-0035,internet,idk,Idk what he wants.,!I.know(he.wants(?)),internet abbreviation,internet_casual,high,golden,,
EAC-GC-0036,slang,semantic,That song is fire.,song = fire,surface-preserving slang,slang,high,golden,fire ≈ excellent/exciting; do not replace surface output.,
EAC-GC-0037,slang,semantic,I'm cooked.,I = cooked,context-dependent slang,slang,medium,golden,May mean in trouble/exhausted/finished.,
EAC-GC-0038,slang,phrase,Hit me up later.,"hit_me_up(me, adverb=later)",multiword slang,slang,high,golden,,
EAC-GC-0039,slang,phrase,Spill the tea.,spill_the_tea(),non-compositional slang phrase,slang,high,golden,,
EAC-GC-0040,unknown,unknown_verb,I totally glorped it.,"I.glorped(it, adverb=totally)","infer syntax, not meaning",standard,low,golden,,
EAC-GC-0041,ambiguity,pp_attachment,I saw the man with a telescope.,AMBIGUOUS,multiple valid parses,standard,medium,review,Return multiple analyses.,
EAC-GC-0042,ambiguity,lexical,She saw her duck.,AMBIGUOUS,noun/verb ambiguity,standard,medium,review,Return multiple analyses.,
EAC-GC-0043,basic,systematic_transitive,I like coffee.,I.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0044,basic,systematic_transitive,I love music.,I.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0045,basic,systematic_transitive,I watch TV.,I.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0046,basic,systematic_transitive,I play tennis.,I.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0047,basic,systematic_transitive,I study English.,I.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0048,basic,systematic_transitive,I eat pizza.,I.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0049,basic,systematic_transitive,I read books.,I.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0050,basic,systematic_transitive,I need help.,I.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0051,basic,systematic_transitive,I want water.,I.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0052,basic,systematic_transitive,I visit Tokyo.,I.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0053,basic,systematic_transitive,I open the door.,I.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0054,basic,systematic_transitive,I clean the room.,I.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0055,basic,systematic_transitive,I buy a ticket.,I.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0056,basic,systematic_transitive,I call Ken.,I.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0057,basic,systematic_transitive,I use a computer.,I.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0058,basic,systematic_transitive,You like coffee.,you.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0059,basic,systematic_transitive,You love music.,you.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0060,basic,systematic_transitive,You watch TV.,you.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0061,basic,systematic_transitive,You play tennis.,you.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0062,basic,systematic_transitive,You study English.,you.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0063,basic,systematic_transitive,You eat pizza.,you.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0064,basic,systematic_transitive,You read books.,you.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0065,basic,systematic_transitive,You need help.,you.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0066,basic,systematic_transitive,You want water.,you.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0067,basic,systematic_transitive,You visit Tokyo.,you.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0068,basic,systematic_transitive,You open the door.,you.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0069,basic,systematic_transitive,You clean the room.,you.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0070,basic,systematic_transitive,You buy a ticket.,you.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0071,basic,systematic_transitive,You call Ken.,you.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0072,basic,systematic_transitive,You use a computer.,you.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0073,basic,systematic_transitive,He like coffee.,he.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0074,basic,systematic_transitive,He love music.,he.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0075,basic,systematic_transitive,He watch TV.,he.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0076,basic,systematic_transitive,He play tennis.,he.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0077,basic,systematic_transitive,He study English.,he.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0078,basic,systematic_transitive,He eat pizza.,he.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0079,basic,systematic_transitive,He read books.,he.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0080,basic,systematic_transitive,He need help.,he.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0081,basic,systematic_transitive,He want water.,he.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0082,basic,systematic_transitive,He visit Tokyo.,he.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0083,basic,systematic_transitive,He open the door.,he.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0084,basic,systematic_transitive,He clean the room.,he.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0085,basic,systematic_transitive,He buy a ticket.,he.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0086,basic,systematic_transitive,He call Ken.,he.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0087,basic,systematic_transitive,He use a computer.,he.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0088,basic,systematic_transitive,She like coffee.,she.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0089,basic,systematic_transitive,She love music.,she.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0090,basic,systematic_transitive,She watch TV.,she.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0091,basic,systematic_transitive,She play tennis.,she.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0092,basic,systematic_transitive,She study English.,she.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0093,basic,systematic_transitive,She eat pizza.,she.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0094,basic,systematic_transitive,She read books.,she.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0095,basic,systematic_transitive,She need help.,she.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0096,basic,systematic_transitive,She want water.,she.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0097,basic,systematic_transitive,She visit Tokyo.,she.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0098,basic,systematic_transitive,She open the door.,she.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0099,basic,systematic_transitive,She clean the room.,she.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0100,basic,systematic_transitive,She buy a ticket.,she.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0101,basic,systematic_transitive,She call Ken.,she.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0102,basic,systematic_transitive,She use a computer.,she.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0103,basic,systematic_transitive,We like coffee.,we.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0104,basic,systematic_transitive,We love music.,we.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0105,basic,systematic_transitive,We watch TV.,we.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0106,basic,systematic_transitive,We play tennis.,we.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0107,basic,systematic_transitive,We study English.,we.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0108,basic,systematic_transitive,We eat pizza.,we.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0109,basic,systematic_transitive,We read books.,we.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0110,basic,systematic_transitive,We need help.,we.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0111,basic,systematic_transitive,We want water.,we.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0112,basic,systematic_transitive,We visit Tokyo.,we.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0113,basic,systematic_transitive,We open the door.,we.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0114,basic,systematic_transitive,We clean the room.,we.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0115,basic,systematic_transitive,We buy a ticket.,we.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0116,basic,systematic_transitive,We call Ken.,we.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0117,basic,systematic_transitive,We use a computer.,we.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0118,basic,systematic_transitive,They like coffee.,they.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0119,basic,systematic_transitive,They love music.,they.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0120,basic,systematic_transitive,They watch TV.,they.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0121,basic,systematic_transitive,They play tennis.,they.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0122,basic,systematic_transitive,They study English.,they.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0123,basic,systematic_transitive,They eat pizza.,they.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0124,basic,systematic_transitive,They read books.,they.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0125,basic,systematic_transitive,They need help.,they.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0126,basic,systematic_transitive,They want water.,they.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0127,basic,systematic_transitive,They visit Tokyo.,they.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0128,basic,systematic_transitive,They open the door.,they.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0129,basic,systematic_transitive,They clean the room.,they.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0130,basic,systematic_transitive,They buy a ticket.,they.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0131,basic,systematic_transitive,They call Ken.,they.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0132,basic,systematic_transitive,They use a computer.,they.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0133,basic,systematic_transitive,Ken like coffee.,Ken.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0134,basic,systematic_transitive,Ken love music.,Ken.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0135,basic,systematic_transitive,Ken watch TV.,Ken.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0136,basic,systematic_transitive,Ken play tennis.,Ken.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0137,basic,systematic_transitive,Ken study English.,Ken.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0138,basic,systematic_transitive,Ken eat pizza.,Ken.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0139,basic,systematic_transitive,Ken read books.,Ken.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0140,basic,systematic_transitive,Ken need help.,Ken.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0141,basic,systematic_transitive,Ken want water.,Ken.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0142,basic,systematic_transitive,Ken visit Tokyo.,Ken.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0143,basic,systematic_transitive,Ken open the door.,Ken.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0144,basic,systematic_transitive,Ken clean the room.,Ken.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0145,basic,systematic_transitive,Ken buy a ticket.,Ken.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0146,basic,systematic_transitive,Ken call Ken.,Ken.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0147,basic,systematic_transitive,Ken use a computer.,Ken.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0148,basic,systematic_transitive,Maria like coffee.,Maria.like(coffee),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0149,basic,systematic_transitive,Maria love music.,Maria.love(music),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0150,basic,systematic_transitive,Maria watch TV.,Maria.watch(TV),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0151,basic,systematic_transitive,Maria play tennis.,Maria.play(tennis),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0152,basic,systematic_transitive,Maria study English.,Maria.study(English),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0153,basic,systematic_transitive,Maria eat pizza.,Maria.eat(pizza),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0154,basic,systematic_transitive,Maria read books.,Maria.read(books),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0155,basic,systematic_transitive,Maria need help.,Maria.need(help),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0156,basic,systematic_transitive,Maria want water.,Maria.want(water),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0157,basic,systematic_transitive,Maria visit Tokyo.,Maria.visit(Tokyo),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0158,basic,systematic_transitive,Maria open the door.,Maria.open(door),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0159,basic,systematic_transitive,Maria clean the room.,Maria.clean(room),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0160,basic,systematic_transitive,Maria buy a ticket.,Maria.buy(ticket),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0161,basic,systematic_transitive,Maria call Ken.,Maria.call(Ken),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0162,basic,systematic_transitive,Maria use a computer.,Maria.use(computer),systematic subject/verb/object,standard,high,golden,,generated|core
EAC-GC-0163,basic,systematic_intransitive,I run.,I.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0164,basic,systematic_intransitive,I swim.,I.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0165,basic,systematic_intransitive,I sleep.,I.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0166,basic,systematic_intransitive,I laugh.,I.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0167,basic,systematic_intransitive,I wait.,I.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0168,basic,systematic_intransitive,I dance.,I.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0169,basic,systematic_intransitive,I work.,I.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0170,basic,systematic_intransitive,I study.,I.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0171,basic,systematic_intransitive,I arrive.,I.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0172,basic,systematic_intransitive,I leave.,I.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0173,basic,systematic_intransitive,You run.,you.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0174,basic,systematic_intransitive,You swim.,you.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0175,basic,systematic_intransitive,You sleep.,you.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0176,basic,systematic_intransitive,You laugh.,you.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0177,basic,systematic_intransitive,You wait.,you.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0178,basic,systematic_intransitive,You dance.,you.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0179,basic,systematic_intransitive,You work.,you.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0180,basic,systematic_intransitive,You study.,you.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0181,basic,systematic_intransitive,You arrive.,you.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0182,basic,systematic_intransitive,You leave.,you.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0183,basic,systematic_intransitive,He run.,he.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0184,basic,systematic_intransitive,He swim.,he.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0185,basic,systematic_intransitive,He sleep.,he.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0186,basic,systematic_intransitive,He laugh.,he.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0187,basic,systematic_intransitive,He wait.,he.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0188,basic,systematic_intransitive,He dance.,he.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0189,basic,systematic_intransitive,He work.,he.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0190,basic,systematic_intransitive,He study.,he.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0191,basic,systematic_intransitive,He arrive.,he.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0192,basic,systematic_intransitive,He leave.,he.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0193,basic,systematic_intransitive,She run.,she.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0194,basic,systematic_intransitive,She swim.,she.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0195,basic,systematic_intransitive,She sleep.,she.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0196,basic,systematic_intransitive,She laugh.,she.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0197,basic,systematic_intransitive,She wait.,she.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0198,basic,systematic_intransitive,She dance.,she.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0199,basic,systematic_intransitive,She work.,she.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0200,basic,systematic_intransitive,She study.,she.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0201,basic,systematic_intransitive,She arrive.,she.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0202,basic,systematic_intransitive,She leave.,she.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0203,basic,systematic_intransitive,We run.,we.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0204,basic,systematic_intransitive,We swim.,we.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0205,basic,systematic_intransitive,We sleep.,we.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0206,basic,systematic_intransitive,We laugh.,we.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0207,basic,systematic_intransitive,We wait.,we.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0208,basic,systematic_intransitive,We dance.,we.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0209,basic,systematic_intransitive,We work.,we.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0210,basic,systematic_intransitive,We study.,we.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0211,basic,systematic_intransitive,We arrive.,we.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0212,basic,systematic_intransitive,We leave.,we.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0213,basic,systematic_intransitive,They run.,they.run(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0214,basic,systematic_intransitive,They swim.,they.swim(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0215,basic,systematic_intransitive,They sleep.,they.sleep(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0216,basic,systematic_intransitive,They laugh.,they.laugh(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0217,basic,systematic_intransitive,They wait.,they.wait(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0218,basic,systematic_intransitive,They dance.,they.dance(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0219,basic,systematic_intransitive,They work.,they.work(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0220,basic,systematic_intransitive,They study.,they.study(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0221,basic,systematic_intransitive,They arrive.,they.arrive(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0222,basic,systematic_intransitive,They leave.,they.leave(),systematic intransitive,standard,high,golden,,generated|core
EAC-GC-0223,modifier,systematic_adverb,I run slowly.,I.run(adverb=slowly),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0224,modifier,systematic_adverb,I run carefully.,I.run(adverb=carefully),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0225,modifier,systematic_adverb,I run often.,I.run(adverb=often),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0226,modifier,systematic_adverb,I run always.,I.run(adverb=always),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0227,modifier,systematic_adverb,I run sometimes.,I.run(adverb=sometimes),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0228,modifier,systematic_adverb,I run today.,I.run(adverb=today),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0229,modifier,systematic_adverb,I run yesterday.,I.run(adverb=yesterday),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0230,modifier,systematic_adverb,I run outside.,I.run(adverb=outside),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0231,modifier,systematic_adverb,I run alone.,I.run(adverb=alone),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0232,modifier,systematic_adverb,You run quickly.,you.run(adverb=quickly),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0233,modifier,systematic_adverb,You run slowly.,you.run(adverb=slowly),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0234,modifier,systematic_adverb,You run carefully.,you.run(adverb=carefully),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0235,modifier,systematic_adverb,You run often.,you.run(adverb=often),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0236,modifier,systematic_adverb,You run always.,you.run(adverb=always),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0237,modifier,systematic_adverb,You run sometimes.,you.run(adverb=sometimes),adverb attachment,standard,high,golden,,generated|modifier
EAC-GC-0238,modifier,systematic_adverb,You run today.,you.run(adverb=today),adverb attachment,standard,high,golden,,generated|modifier
